,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl,Player
2,2021-22,24,DEN,NBA,PF,15,1,176,23,41,0.561,7,12,0.583,16,29,0.552,0.646,9,14,0.643,8,23,31,17,2,3,9,18,62,,,"
Vlatko Čančar
"
0,2019-20,23,CLE,NBA,PF,12,0,71,9,13,0.692,2,4,0.5,7,9,0.778,0.769,0,1,0.0,3,16,19,2,2,4,3,8,20,,,"
Dean Wade
"
1,2020-21,24,CLE,NBA,PF,63,19,1212,134,311,0.431,78,213,0.366,56,98,0.571,0.556,30,39,0.769,38,177,215,74,35,21,30,78,376,,,"
Dean Wade
"
2,2021-22,25,CLE,NBA,PF,51,28,980,99,217,0.456,51,142,0.359,48,75,0.64,0.574,20,30,0.667,31,119,150,52,29,7,16,88,269,,,"
Dean Wade
"
0,2019-20,22,CHO,NBA,SF,16,0,293,33,70,0.471,9,24,0.375,24,46,0.522,0.536,14,17,0.824,15,50,65,13,8,3,11,36,89,,,"
Jalen McDaniels
"
1,2020-21,23,CHO,NBA,SF,47,18,904,133,284,0.468,35,105,0.333,98,179,0.547,0.53,45,64,0.703,45,124,169,53,28,19,45,95,346,,,"
Jalen McDaniels
"
2,2021-22,24,CHO,NBA,SF,55,2,895,123,254,0.484,41,108,0.38,82,146,0.562,0.565,53,72,0.736,37,133,170,58,26,22,36,93,340,,,"
Jalen McDaniels
"
0,2018-19,21,SAS,NBA,PF,23,0,113,15,26,0.577,0,0,,15,26,0.577,0.577,11,13,0.846,6,28,34,7,2,5,8,11,41,,,"
Drew Eubanks
"
1,2019-20,22,SAS,NBA,C,22,3,272,43,67,0.642,1,1,1.0,42,66,0.636,0.649,20,26,0.769,28,57,85,15,5,17,21,37,107,,,"
Drew Eubanks
"
2,2020-21,23,SAS,NBA,C,54,3,755,116,205,0.566,2,2,1.0,114,203,0.562,0.571,77,106,0.726,74,167,241,42,18,49,45,88,311,,,"
Drew Eubanks
"
3,2021-22,24,TOT,NBA,C,71,31,1245,221,371,0.596,5,23,0.217,216,348,0.621,0.602,99,130,0.762,130,252,382,85,31,40,81,122,546,,,"
Drew Eubanks
"
4,2021-22,24,SAS,NBA,C,49,9,595,84,159,0.528,1,8,0.125,83,151,0.55,0.531,59,79,0.747,64,132,196,50,13,30,46,61,228,,,"
Drew Eubanks
"
5,2021-22,24,POR,NBA,C,22,22,650,137,212,0.646,4,15,0.267,133,197,0.675,0.656,40,51,0.784,66,120,186,35,18,10,35,61,318,,,"
Drew Eubanks
"
0,2018-19,21,SAS,NBA,PF,29,0,145,19,58,0.328,0,2,0.0,19,56,0.339,0.328,13,17,0.765,9,27,36,13,6,2,15,14,51,,,"
Chimezie Metu
"
1,2019-20,22,SAS,NBA,C,18,0,105,24,42,0.571,0,2,0.0,24,40,0.6,0.571,10,13,0.769,12,21,33,10,3,6,10,7,58,,,"
Chimezie Metu
"
2,2020-21,23,SAC,NBA,C,36,6,488,91,179,0.508,13,37,0.351,78,142,0.549,0.545,31,43,0.721,31,81,112,28,14,18,29,59,226,,,"
Chimezie Metu
"
3,2021-22,24,SAC,NBA,C,60,20,1279,203,449,0.452,57,186,0.306,146,263,0.555,0.516,71,91,0.78,34,301,335,60,51,32,61,93,534,,,"
Chimezie Metu
"
0,2018-19,24,MEM,NBA,SF,15,0,174,15,51,0.294,2,16,0.125,13,35,0.371,0.314,7,10,0.7,4,27,31,8,4,1,6,11,39,,,"
Yuta Watanabe
"
1,2019-20,25,MEM,NBA,SF,18,0,105,15,34,0.441,3,8,0.375,12,26,0.462,0.485,3,8,0.375,7,13,20,5,5,1,2,9,36,,,"
Yuta Watanabe
"
2,2020-21,26,TOR,NBA,SF,50,4,723,79,180,0.439,36,90,0.4,43,90,0.478,0.539,24,29,0.828,36,123,159,40,26,19,19,57,218,,,"
Yuta Watanabe
"
3,2021-22,27,TOR,NBA,SF,38,4,445,56,138,0.406,27,79,0.342,29,59,0.492,0.504,24,40,0.6,18,74,92,21,11,16,19,38,163,,,"
Yuta Watanabe
"
0,2018-19,21,TOT,NBA,SF,42,0,440,46,140,0.329,29,89,0.326,17,51,0.333,0.432,12,20,0.6,9,27,36,37,14,1,21,25,133,,,"
Svi Mykhailiuk
"
1,2018-19,21,LAL,NBA,SF,39,0,420,44,132,0.333,27,85,0.318,17,47,0.362,0.436,12,20,0.6,8,26,34,33,13,1,20,25,127,,,"
Svi Mykhailiuk
"
2,2018-19,21,DET,NBA,SF,3,0,20,2,8,0.25,2,4,0.5,0,4,0.0,0.375,0,0,,1,1,2,4,1,0,1,0,6,,,"
Svi Mykhailiuk
"
3,2019-20,22,DET,NBA,SF,56,27,1265,166,405,0.41,115,285,0.404,51,120,0.425,0.552,57,70,0.814,17,87,104,106,41,4,61,87,504,,,"
Svi Mykhailiuk
"
4,2020-21,23,TOT,NBA,"SF,SG",66,14,1324,208,506,0.411,105,314,0.334,103,192,0.536,0.515,38,50,0.76,24,139,163,110,51,12,88,63,559,,,"
Svi Mykhailiuk
"
5,2020-21,23,DET,NBA,SF,36,5,634,84,223,0.377,57,171,0.333,27,52,0.519,0.504,24,30,0.8,11,63,74,57,27,6,39,33,249,,,"
Svi Mykhailiuk
"
6,2020-21,23,OKC,NBA,SG,30,9,690,124,283,0.438,48,143,0.336,76,140,0.543,0.523,14,20,0.7,13,76,89,53,24,6,49,30,310,,,"
Svi Mykhailiuk
"
7,2021-22,24,TOR,NBA,SF,56,5,716,91,234,0.389,41,134,0.306,50,100,0.5,0.476,32,37,0.865,20,72,92,45,26,4,32,54,255,,,"
Svi Mykhailiuk
"
0,2018-19,23,MIN,NBA,SF,30,3,503,60,142,0.423,13,52,0.25,47,90,0.522,0.468,18,28,0.643,16,67,83,17,18,14,14,29,151,,,"
Keita Bates-Diop
"
1,2019-20,24,TOT,NBA,"PF,SF",44,0,744,100,234,0.427,34,103,0.33,66,131,0.504,0.5,54,75,0.72,25,102,127,30,19,24,17,43,288,,,"
Keita Bates-Diop
"
2,2019-20,24,MIN,NBA,PF,37,0,646,87,206,0.422,31,94,0.33,56,112,0.5,0.498,46,65,0.708,21,89,110,30,17,20,14,36,251,,,"
Keita Bates-Diop
"
3,2019-20,24,DEN,NBA,SF,7,0,98,13,28,0.464,3,9,0.333,10,19,0.526,0.518,8,10,0.8,4,13,17,0,2,4,3,7,37,,,"
Keita Bates-Diop
"
4,2020-21,25,SAS,NBA,SF,30,0,245,30,67,0.448,5,17,0.294,25,50,0.5,0.485,14,21,0.667,9,40,49,12,11,5,7,11,79,,,"
Keita Bates-Diop
"
5,2021-22,26,SAS,NBA,SF,59,14,956,136,263,0.517,17,55,0.309,119,208,0.572,0.549,46,61,0.754,62,169,231,41,27,14,45,61,335,,,"
Keita Bates-Diop
"
0,2018-19,21,LAL,NBA,C,43,5,446,71,171,0.415,22,77,0.286,49,94,0.521,0.48,43,53,0.811,17,68,85,24,11,13,39,57,207,,,"
Moritz Wagner
"
1,2019-20,22,WAS,NBA,C,45,5,835,145,266,0.545,25,80,0.313,120,186,0.645,0.592,78,95,0.821,56,163,219,56,28,19,66,152,393,,,"
Moritz Wagner
"
2,2020-21,23,TOT,NBA,C,45,24,722,104,229,0.454,31,91,0.341,73,138,0.529,0.522,71,87,0.816,27,119,146,50,26,18,43,108,310,,,"
Moritz Wagner
"
3,2020-21,23,WAS,NBA,C,25,13,375,62,122,0.508,13,42,0.31,49,80,0.613,0.561,41,52,0.788,13,60,73,32,22,8,21,62,178,,,"
Moritz Wagner
"
4,2020-21,23,BOS,NBA,C,9,1,61,4,14,0.286,2,6,0.333,2,8,0.25,0.357,1,2,0.5,3,16,19,6,0,1,9,10,11,,,"
Moritz Wagner
"
5,2020-21,23,ORL,NBA,C,11,10,286,38,93,0.409,16,43,0.372,22,50,0.44,0.495,29,33,0.879,11,43,54,12,4,9,13,36,121,,,"
Moritz Wagner
"
6,2021-22,24,ORL,NBA,C,63,3,960,197,396,0.497,66,201,0.328,131,195,0.672,0.581,104,129,0.806,42,190,232,87,20,13,56,123,564,,,"
Moritz Wagner
"
0,2015-16,23,NYK,NBA,SF,2,0,6,3,4,0.75,0,1,0.0,3,3,1.0,0.75,0,0,,0,1,1,0,0,0,0,2,6,,,"
Thanasis Antetokounmpo
"
1,2019-20,27,MIL,NBA,SF,20,2,129,24,48,0.5,0,10,0.0,24,38,0.632,0.5,7,17,0.412,12,12,24,15,7,2,12,18,55,,,"
Thanasis Antetokounmpo
"
2,2020-21,28,MIL,NBA,SF,57,3,551,67,137,0.489,7,29,0.241,60,108,0.556,0.515,25,49,0.51,54,70,124,46,22,10,43,74,166,,,"
Thanasis Antetokounmpo
"
3,2021-22,29,MIL,NBA,SF,48,6,473,70,128,0.547,2,14,0.143,68,114,0.596,0.555,29,46,0.63,40,61,101,22,16,12,26,68,171,,,"
Thanasis Antetokounmpo
"
0,2018-19,19,LAL,NBA,PG,22,0,120,5,33,0.152,0,8,0.0,5,25,0.2,0.152,9,15,0.6,9,16,25,15,9,4,6,9,19,,,"
Isaac Bonga
"
1,2019-20,20,WAS,NBA,SF,66,49,1250,118,234,0.504,25,71,0.352,93,163,0.571,0.558,69,85,0.812,71,151,222,76,45,22,58,156,330,,,"
Isaac Bonga
"
2,2020-21,21,WAS,NBA,SF,40,8,432,30,81,0.37,13,47,0.277,17,34,0.5,0.451,5,8,0.625,18,48,66,23,11,9,22,63,78,,,"
Isaac Bonga
"
3,2021-22,22,TOR,NBA,SF,15,0,69,3,13,0.231,1,4,0.25,2,9,0.222,0.269,5,8,0.625,4,3,7,4,8,2,2,10,12,,,"
Isaac Bonga
"
0,2018-19,20,HOU,NBA,PF,28,0,221,20,41,0.488,2,6,0.333,18,35,0.514,0.512,11,14,0.786,21,26,47,15,7,12,13,56,53,,,"
Isaiah Hartenstein
"
1,2019-20,21,HOU,NBA,C,23,2,266,44,67,0.657,0,5,0.0,44,62,0.71,0.657,19,28,0.679,29,61,90,18,9,12,16,41,107,,,"
Isaiah Hartenstein
"
2,2020-21,22,TOT,NBA,C,46,2,559,94,171,0.55,2,6,0.333,92,165,0.558,0.556,46,71,0.648,65,116,181,55,19,39,44,104,236,,,"
Isaiah Hartenstein
"
3,2020-21,22,DEN,NBA,C,30,0,272,41,80,0.513,0,0,,41,80,0.513,0.513,22,36,0.611,40,45,85,15,11,20,21,59,104,,,"
Isaiah Hartenstein
"
4,2020-21,22,CLE,NBA,C,16,2,287,53,91,0.582,2,6,0.333,51,85,0.6,0.593,24,35,0.686,25,71,96,40,8,19,23,45,132,,,"
Isaiah Hartenstein
"
5,2021-22,23,LAC,NBA,C,68,0,1216,229,366,0.626,14,30,0.467,215,336,0.64,0.645,91,132,0.689,117,215,332,160,50,77,84,167,563,,,"
Isaiah Hartenstein
"
0,2019-20,26,GSW,NBA,SG,13,6,272,29,63,0.46,8,23,0.348,21,40,0.525,0.524,3,5,0.6,9,43,52,26,13,5,16,30,69,,,"
Juan Toscano-Anderson
"
1,2020-21,27,GSW,NBA,SG,53,16,1107,121,209,0.579,37,92,0.402,84,117,0.718,0.667,22,31,0.71,29,205,234,150,41,26,61,111,301,,,"
Juan Toscano-Anderson
"
2,2021-22,28,GSW,NBA,SF,73,6,994,115,235,0.489,28,87,0.322,87,148,0.588,0.549,40,70,0.571,28,148,176,127,48,17,68,115,298,,,"
Juan Toscano-Anderson
"
0,2019-20,20,POR,NBA,C,9,0,33,4,10,0.4,0,0,,4,10,0.4,0.4,3,8,0.375,3,11,14,1,1,1,3,7,11,,,"
Moses Brown
"
1,2020-21,21,OKC,NBA,C,43,32,920,146,268,0.545,0,0,,146,268,0.545,0.545,78,126,0.619,154,229,383,10,31,47,43,93,370,,,"
Moses Brown
"
2,2021-22,22,TOT,NBA,C,40,6,345,64,108,0.593,0,0,,64,108,0.593,0.593,43,72,0.597,39,96,135,1,7,16,20,53,171,,,"
Moses Brown
"
3,2021-22,22,DAL,NBA,C,26,1,169,27,50,0.54,0,0,,27,50,0.54,0.54,27,43,0.628,16,45,61,1,3,9,14,28,81,,,"
Moses Brown
"
4,2021-22,22,CLE,NBA,C,14,5,176,37,58,0.638,0,0,,37,58,0.638,0.638,16,29,0.552,23,51,74,0,4,7,6,25,90,,,"
Moses Brown
"
0,2019-20,21,TOR,NBA,SF,19,0,135,13,36,0.361,3,15,0.2,10,21,0.476,0.403,8,10,0.8,9,17,26,7,4,1,7,18,37,,,"
Oshae Brissett
"
1,2020-21,22,IND,NBA,SF,21,16,519,73,151,0.483,33,78,0.423,40,73,0.548,0.593,50,65,0.769,29,86,115,18,19,20,10,32,229,,,"
Oshae Brissett
"
2,2021-22,23,IND,NBA,SF,67,25,1564,208,506,0.411,83,237,0.35,125,269,0.465,0.493,114,164,0.695,108,250,358,72,44,29,54,116,613,,,"
Oshae Brissett
"
0,2018-19,20,HOU,NBA,PF,28,0,221,20,41,0.488,2,6,0.333,18,35,0.514,0.512,11,14,0.786,21,26,47,15,7,12,13,56,53,,,"
Isaiah Hartenstein
"
1,2019-20,21,HOU,NBA,C,23,2,266,44,67,0.657,0,5,0.0,44,62,0.71,0.657,19,28,0.679,29,61,90,18,9,12,16,41,107,,,"
Isaiah Hartenstein
"
2,2020-21,22,TOT,NBA,C,46,2,559,94,171,0.55,2,6,0.333,92,165,0.558,0.556,46,71,0.648,65,116,181,55,19,39,44,104,236,,,"
Isaiah Hartenstein
"
3,2020-21,22,DEN,NBA,C,30,0,272,41,80,0.513,0,0,,41,80,0.513,0.513,22,36,0.611,40,45,85,15,11,20,21,59,104,,,"
Isaiah Hartenstein
"
4,2020-21,22,CLE,NBA,C,16,2,287,53,91,0.582,2,6,0.333,51,85,0.6,0.593,24,35,0.686,25,71,96,40,8,19,23,45,132,,,"
Isaiah Hartenstein
"
5,2021-22,23,LAC,NBA,C,68,0,1216,229,366,0.626,14,30,0.467,215,336,0.64,0.645,91,132,0.689,117,215,332,160,50,77,84,167,563,,,"
Isaiah Hartenstein
"
0,2021-22,23,NOP,NBA,PF,78,69,2335,274,576,0.476,57,169,0.337,217,407,0.533,0.525,137,163,0.84,98,198,296,167,130,60,100,238,742,,,"
Herbert Jones
"
0,2020-21,25,OKC,NBA,PF,10,0,212,32,67,0.478,2,15,0.133,30,52,0.577,0.493,18,22,0.818,16,24,40,24,8,0,6,9,84,,,"
Gabriel Deck
"
1,2021-22,26,OKC,NBA,PF,7,0,56,8,14,0.571,2,4,0.5,6,10,0.6,0.643,0,0,,1,5,6,5,1,0,2,2,18,,,"
Gabriel Deck
"
0,2019-20,23,MIN,NBA,PG,30,2,590,87,178,0.489,29,76,0.382,58,102,0.569,0.57,26,39,0.667,7,42,49,125,34,4,31,31,229,,,"
Jordan McLaughlin
"
1,2020-21,24,MIN,NBA,PG,51,2,938,100,242,0.413,33,92,0.359,67,150,0.447,0.481,23,30,0.767,21,87,108,193,51,6,51,44,256,,,"
Jordan McLaughlin
"
2,2021-22,25,MIN,NBA,PG,62,3,902,88,200,0.44,27,85,0.318,61,115,0.53,0.508,30,40,0.75,22,72,94,180,57,10,38,54,233,,,"
Jordan McLaughlin
"
0,2019-20,26,BOS,NBA,SG,48,2,468,63,126,0.5,9,33,0.273,54,93,0.581,0.536,28,42,0.667,24,69,93,26,24,8,23,43,163,,,"
Javonte Green
"
1,2020-21,27,TOT,NBA,"SF,SG",41,2,473,53,102,0.52,10,30,0.333,43,72,0.597,0.569,30,40,0.75,26,45,71,17,28,6,19,45,146,,,"
Javonte Green
"
2,2020-21,27,BOS,NBA,SF,25,2,345,39,71,0.549,7,22,0.318,32,49,0.653,0.599,20,30,0.667,20,32,52,11,18,2,13,32,105,,,"
Javonte Green
"
3,2020-21,27,CHI,NBA,SG,16,0,128,14,31,0.452,3,8,0.375,11,23,0.478,0.5,10,10,1.0,6,13,19,6,10,4,6,13,41,,,"
Javonte Green
"
4,2021-22,28,CHI,NBA,SF,65,45,1519,176,325,0.542,36,101,0.356,140,224,0.625,0.597,80,96,0.833,91,185,276,60,67,32,30,132,468,,,"
Javonte Green
"
0,2019-20,23,CHI,NBA,SF,2,0,6,2,3,0.667,0,1,0.0,2,2,1.0,0.667,1,1,1.0,1,0,1,0,0,0,0,1,5,,,"
Max Strus
"
1,2020-21,24,MIA,NBA,SF,39,0,507,85,187,0.455,50,148,0.338,35,39,0.897,0.588,16,24,0.667,5,36,41,24,11,2,8,43,236,,,"
Max Strus
"
2,2021-22,25,MIA,NBA,SF,68,16,1587,249,564,0.441,181,442,0.41,68,122,0.557,0.602,42,53,0.792,24,178,202,92,28,16,57,116,721,,,"
Max Strus
"
0,2019-20,23,MIA,NBA,PG,9,0,83,8,37,0.216,6,27,0.222,2,10,0.2,0.297,0,0,,0,5,5,6,5,0,1,6,22,,,"
Gabe Vincent
"
1,2020-21,24,MIA,NBA,PG,50,7,655,88,233,0.378,46,149,0.309,42,84,0.5,0.476,20,23,0.87,10,46,56,67,21,2,34,79,242,,,"
Gabe Vincent
"
2,2021-22,25,MIA,NBA,PG,68,27,1589,214,513,0.417,119,323,0.368,95,190,0.5,0.533,44,54,0.815,22,104,126,210,62,12,98,158,591,,,"
Gabe Vincent
"
0,2021-22,29,CLE,NBA,PG,24,3,166,15,46,0.326,6,26,0.231,9,20,0.45,0.391,3,4,0.75,2,9,11,30,3,0,7,11,39,,,"
Kevin Pangos
"
0,2019-20,25,TOR,NBA,SG,41,1,440,73,150,0.487,47,99,0.475,26,51,0.51,0.643,9,12,0.75,9,52,61,22,10,1,16,38,202,,,"
Matt Thomas
"
1,2020-21,26,TOT,NBA,SG,45,0,326,50,127,0.394,27,80,0.338,23,47,0.489,0.5,12,14,0.857,7,37,44,19,4,0,14,18,139,,,"
Matt Thomas
"
2,2020-21,26,TOR,NBA,SG,26,0,192,24,62,0.387,17,41,0.415,7,21,0.333,0.524,6,7,0.857,3,18,21,9,2,0,6,10,71,,,"
Matt Thomas
"
3,2020-21,26,UTA,NBA,SG,19,0,134,26,65,0.4,10,39,0.256,16,26,0.615,0.477,6,7,0.857,4,19,23,10,2,0,8,8,68,,,"
Matt Thomas
"
4,2021-22,27,CHI,NBA,SG,40,0,459,55,134,0.41,35,91,0.385,20,43,0.465,0.541,16,20,0.8,3,47,50,20,8,3,8,18,161,,,"
Matt Thomas
"
0,2020-21,19,CHO,NBA,C,19,4,115,18,36,0.5,1,7,0.143,17,29,0.586,0.514,9,11,0.818,6,21,27,2,1,5,5,13,46,,,"
Vernon Carey Jr.
"
1,2021-22,20,TOT,NBA,C,7,1,44,7,13,0.538,0,0,,7,13,0.538,0.538,6,13,0.462,8,4,12,0,2,1,3,4,20,,,"
Vernon Carey Jr.
"
2,2021-22,20,CHO,NBA,C,4,1,17,3,6,0.5,0,0,,3,6,0.5,0.5,2,3,0.667,3,2,5,0,1,0,1,1,8,,,"
Vernon Carey Jr.
"
3,2021-22,20,WAS,NBA,C,3,0,27,4,7,0.571,0,0,,4,7,0.571,0.571,4,10,0.4,5,2,7,0,1,1,2,3,12,,,"
Vernon Carey Jr.
"
0,2020-21,22,MEM,NBA,PF,59,12,1085,167,299,0.559,22,65,0.338,145,234,0.62,0.595,34,53,0.642,74,182,256,75,44,33,45,116,390,,,"
Xavier Tillman Sr.
"
1,2021-22,23,MEM,NBA,PF,53,2,701,98,216,0.454,10,49,0.204,88,167,0.527,0.477,46,71,0.648,66,95,161,62,49,15,34,63,252,,,"
Xavier Tillman Sr.
"
0,2020-21,20,DAL,NBA,PG,11,0,56,5,16,0.313,0,7,0.0,5,9,0.556,0.313,1,3,0.333,0,6,6,6,5,0,2,2,11,,,"
Tyrell Terry
"
1,2021-22,21,MEM,NBA,PG,2,0,3,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,0,0,0,0,0,0,1,2,,,"
Tyrell Terry
"
0,2020-21,21,SAS,NBA,PG,37,1,269,37,78,0.474,3,5,0.6,34,73,0.466,0.494,17,19,0.895,8,13,21,39,8,0,13,13,94,,,"
Tre Jones
"
1,2021-22,22,SAS,NBA,PG,69,11,1148,166,339,0.49,10,51,0.196,156,288,0.542,0.504,71,91,0.78,29,126,155,233,42,7,46,78,413,,,"
Tre Jones
"
0,2020-21,21,SAC,NBA,SF,13,0,45,8,20,0.4,1,6,0.167,7,14,0.5,0.425,3,8,0.375,4,12,16,2,0,3,1,4,20,,,"
Robert Woodard II
"
1,2021-22,22,SAC,NBA,SF,12,0,42,2,16,0.125,1,4,0.25,1,12,0.083,0.156,2,2,1.0,5,6,11,3,1,1,1,3,7,,,"
Robert Woodard II
"
0,2020-21,19,SAC,NBA,SG,13,0,94,15,38,0.395,5,19,0.263,10,19,0.526,0.461,5,5,1.0,2,8,10,6,4,1,3,8,40,,,"
Jahmi'us Ramsey
"
1,2021-22,20,SAC,NBA,SG,19,0,134,24,58,0.414,5,18,0.278,19,40,0.475,0.457,7,14,0.5,4,9,13,7,1,1,5,10,60,,,"
Jahmi'us Ramsey
"
0,2020-21,20,POR,NBA,SF,30,0,192,25,66,0.379,7,34,0.206,18,32,0.563,0.432,11,15,0.733,11,21,32,10,6,3,5,27,68,,,"
CJ Elleby
"
1,2021-22,21,POR,NBA,SF,58,28,1174,121,308,0.393,37,126,0.294,84,182,0.462,0.453,60,84,0.714,66,161,227,87,35,19,56,116,339,,,"
CJ Elleby
"
0,2020-21,22,UTA,NBA,SF,18,0,64,10,30,0.333,8,23,0.348,2,7,0.286,0.467,3,4,0.75,1,8,9,6,1,1,6,1,31,,,"
Elijah Hughes
"
1,2021-22,23,TOT,NBA,"SF,SG",36,4,434,47,144,0.326,25,95,0.263,22,49,0.449,0.413,7,9,0.778,6,52,58,22,14,8,17,39,126,,,"
Elijah Hughes
"
2,2021-22,23,UTA,NBA,SF,14,1,112,15,36,0.417,10,28,0.357,5,8,0.625,0.556,3,3,1.0,2,15,17,6,4,1,7,7,43,,,"
Elijah Hughes
"
3,2021-22,23,POR,NBA,SG,22,3,322,32,108,0.296,15,67,0.224,17,41,0.415,0.366,4,6,0.667,4,37,41,16,10,7,10,32,83,,,"
Elijah Hughes
"
0,2020-21,21,PHI,NBA,SG,41,1,383,48,133,0.361,39,106,0.368,9,27,0.333,0.508,18,24,0.75,6,30,36,20,12,4,11,34,153,,,"
Isaiah Joe
"
1,2021-22,22,PHI,NBA,SG,55,1,609,62,177,0.35,45,135,0.333,17,42,0.405,0.477,29,31,0.935,6,50,56,35,14,3,19,47,198,,,"
Isaiah Joe
"
0,2020-21,23,NOP,NBA,SF,32,10,700,82,209,0.392,29,83,0.349,53,126,0.421,0.462,53,75,0.707,15,133,148,88,26,10,38,58,246,,,"
Naji Marshall
"
1,2021-22,24,NOP,NBA,SF,55,4,735,109,269,0.405,21,105,0.2,88,164,0.537,0.444,74,93,0.796,38,104,142,62,33,8,46,69,313,,,"
Naji Marshall
"
0,2020-21,22,MIL,NBA,SF,30,2,274,62,135,0.459,28,62,0.452,34,73,0.466,0.563,19,25,0.76,9,51,60,7,16,7,24,22,171,,,"
Jordan Nwora
"
1,2021-22,23,MIL,NBA,SF,62,13,1185,186,462,0.403,79,227,0.348,107,235,0.455,0.488,36,43,0.837,37,184,221,59,25,17,57,78,487,,,"
Jordan Nwora
"
0,2020-21,23,CHO,NBA,PF,18,0,63,4,9,0.444,0,1,0.0,4,8,0.5,0.444,7,11,0.636,4,7,11,2,0,0,3,7,15,,,"
Nick Richards
"
1,2021-22,24,CHO,NBA,C,50,5,367,60,90,0.667,0,0,,60,90,0.667,0.667,30,43,0.698,34,52,86,13,9,21,24,51,150,,,"
Nick Richards
"
0,2020-21,28,WAS,NBA,PF,26,4,218,30,60,0.5,7,24,0.292,23,36,0.639,0.558,13,16,0.813,16,35,51,11,10,4,8,27,80,,,"
Anthony Gill
"
1,2021-22,29,WAS,NBA,PF,44,0,463,62,109,0.569,14,26,0.538,48,83,0.578,0.633,42,52,0.808,33,52,85,27,5,11,18,58,180,,,"
Anthony Gill
"
0,2020-21,21,PHI,NBA,PF,26,0,177,42,78,0.538,0,6,0.0,42,72,0.583,0.538,4,8,0.5,30,31,61,12,10,13,12,29,88,,,"
Paul Reed
"
1,2021-22,22,PHI,NBA,C,38,2,302,54,96,0.563,2,8,0.25,52,88,0.591,0.573,6,14,0.429,44,48,92,16,33,14,10,57,116,,,"
Paul Reed
"
0,2020-21,20,HOU,NBA,SF,45,8,1068,162,318,0.509,35,96,0.365,127,222,0.572,0.564,60,84,0.714,73,169,242,48,30,41,38,89,419,,,"
Kenyon Martin Jr.
"
1,2021-22,21,HOU,NBA,SF,79,2,1656,279,523,0.533,60,168,0.357,219,355,0.617,0.591,78,123,0.634,80,217,297,101,34,40,60,113,696,,,"
Kenyon Martin Jr.
"
0,2020-21,25,HOU,NBA,SF,70,58,2043,316,625,0.506,60,195,0.308,256,430,0.595,0.554,102,147,0.694,132,242,374,178,85,36,98,222,794,,,"
Jae'Sean Tate
"
1,2021-22,26,HOU,NBA,SF,78,77,2056,363,729,0.498,63,202,0.312,300,527,0.569,0.541,130,184,0.707,135,285,420,222,72,41,139,286,919,,,"
Jae'Sean Tate
"
0,2020-21,23,CLE,NBA,PF,40,0,499,62,136,0.456,4,25,0.16,58,111,0.523,0.471,37,51,0.725,24,72,96,25,17,13,23,53,165,,,"
Lamar Stevens
"
1,2021-22,24,CLE,NBA,PF,63,13,1015,156,319,0.489,18,65,0.277,138,254,0.543,0.517,53,75,0.707,47,117,164,44,31,18,41,106,383,,,"
Lamar Stevens
"
0,2021-22,20,WAS,NBA,PF,12,0,74,7,26,0.269,4,16,0.25,3,10,0.3,0.346,2,6,0.333,3,9,12,4,4,2,4,4,20,,,"
Isaiah Todd
"
0,2021-22,23,NOP,NBA,PG,54,1,834,131,294,0.446,32,110,0.291,99,184,0.538,0.5,36,53,0.679,25,75,100,152,71,7,40,73,330,,,"
Jose Alvarado
"
0,2020-21,21,DET,NBA,PG,48,7,781,99,210,0.471,8,23,0.348,91,187,0.487,0.49,61,89,0.685,20,77,97,174,32,13,55,76,267,,,"
Saben Lee
"
1,2021-22,22,DET,NBA,PG,37,0,604,69,177,0.39,14,60,0.233,55,117,0.47,0.429,56,71,0.789,18,69,87,107,36,12,36,44,208,,,"
Saben Lee
"
0,2021-22,23,MIA,NBA,C,56,12,706,130,247,0.526,1,11,0.091,129,236,0.547,0.528,38,61,0.623,85,209,294,49,17,20,41,84,299,,,"
Omer Yurtseven
"
0,2020-21,22,HOU,NBA,SG,20,5,520,78,192,0.406,60,157,0.382,18,35,0.514,0.563,7,12,0.583,10,58,68,30,12,5,22,34,223,,,"
Armoni Brooks
"
1,2021-22,23,TOT,NBA,"PG,SG",54,11,844,98,289,0.339,74,249,0.297,24,40,0.6,0.467,18,21,0.857,20,83,103,62,28,11,27,74,288,,,"
Armoni Brooks
"
2,2021-22,23,HOU,NBA,SG,41,8,690,87,251,0.347,64,213,0.3,23,38,0.605,0.474,16,19,0.842,12,69,81,49,21,8,23,60,254,,,"
Armoni Brooks
"
3,2021-22,23,TOR,NBA,PG,13,3,154,11,38,0.289,10,36,0.278,1,2,0.5,0.421,2,2,1.0,8,14,22,13,7,3,4,14,34,,,"
Armoni Brooks
"
0,2004-05,19,NOH,NBA,SG,76,56,1859,295,748,0.394,81,281,0.288,214,467,0.458,0.449,111,161,0.689,39,113,152,142,55,11,109,135,782,,,"
J.R. Smith
"
1,2005-06,20,NOK,NBA,SG,55,25,989,144,366,0.393,52,140,0.371,92,226,0.407,0.464,83,101,0.822,19,91,110,58,37,4,54,90,423,,,"
J.R. Smith
"
