,Rk,Player,Tm,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27,Signed Using,Guaranteed,Link
242,243,Dorian Finney-Smith,DAL,"$4,000,000","$12,402,000","$13,394,160","$14,386,320","$15,378,480",,Bird Rights,"$44,182,480",https://www.basketball-reference.com/players/f/finnedo01.html
243,244,Terence Davis,SAC,"$4,000,000","$4,000,000",,,,,Early Bird,"$8,000,000",https://www.basketball-reference.com/players/d/daviste02.html
244,245,George Hill,MIL,"$4,000,000","$4,000,000",,,,,MLE,"$8,000,000",https://www.basketball-reference.com/players/h/hillge01.html
245,246,Gorgui Dieng,ATL,"$4,000,000",,,,,,MLE,"$4,000,000",https://www.basketball-reference.com/players/d/dienggo01.html
246,247,Aaron Holiday,PHO,"$3,980,551",,,,,,1st Round Pick,"$3,980,551",https://www.basketball-reference.com/players/h/holidaa01.html
247,248,Joshua Primo,SAS,"$3,946,800","$4,144,320","$4,341,600","$5,982,725",,,1st Round Pick,"$8,091,120",https://www.basketball-reference.com/players/p/primojo01.html
248,249,Jake Layman,MIN,"$3,940,184",,,,,,Sign and Trade,"$3,940,184",https://www.basketball-reference.com/players/l/laymaja01.html
249,250,Anfernee Simons,POR,"$3,938,818",,,,,,1st Round Pick,"$3,938,818",https://www.basketball-reference.com/players/s/simonan01.html
250,251,Justise Winslow,POR,"$3,902,439","$4,097,561",,,,,Mini MLE,"$8,000,000",https://www.basketball-reference.com/players/w/winslju01.html
251,252,Kira Lewis Jr.,NOP,"$3,822,240","$4,004,280","$5,722,116",,,,1st Round Pick,"$7,826,520",https://www.basketball-reference.com/players/l/lewiski01.html
252,253,Romeo Langford,SAS,"$3,804,360","$5,634,257",,,,,1st Round Pick,"$9,438,617",https://www.basketball-reference.com/players/l/langfro01.html
253,254,Facundo Campazzo,DEN,"$3,804,150",,,,,,Bi-Annual Exception,"$3,804,150",https://www.basketball-reference.com/players/c/campafa01.html
254,255,Landry Shamet,PHO,"$3,768,342","$9,598,214","$10,366,071","$11,133,929","$11,901,786",,1st Round Pick,"$46,768,342",https://www.basketball-reference.com/players/s/shamela01.html
255,256,Chris Duarte,IND,"$3,749,520","$3,936,960","$4,124,280","$5,893,596",,,1st Round Pick,"$7,686,480",https://www.basketball-reference.com/players/d/duartch01.html
256,257,Alex Len,SAC,"$3,731,707","$3,918,293",,,,,Bi-Annual Exception,"$7,650,000",https://www.basketball-reference.com/players/l/lenal01.html
257,258,Robert Williams,BOS,"$3,661,976","$10,700,000","$11,556,000","$12,412,000","$13,268,000",,1st Round Pick,"$51,597,976",https://www.basketball-reference.com/players/w/williro04.html
258,259,Jevon Carter,BRK,"$4,107,149","$3,925,000",,,,,,"$7,575,000",https://www.basketball-reference.com/players/c/carteje01.html
259,260,Aaron Nesmith,BOS,"$3,631,200","$3,804,360","$5,634,257",,,,1st Round Pick,"$7,435,560",https://www.basketball-reference.com/players/n/nesmiaa01.html
260,261,Moses Moody,GSW,"$3,562,080","$3,740,160","$3,918,480","$5,803,269",,,1st Round Pick,"$7,302,240",https://www.basketball-reference.com/players/m/moodymo01.html
261,262,Boban Marjanović,DAL,"$3,500,000","$3,500,000",,,,,Early Bird,"$7,000,000",https://www.basketball-reference.com/players/m/marjabo01.html
262,263,Mike Muscala,OKC,"$3,500,000","$3,500,000",,,,,MLE,"$3,500,000",https://www.basketball-reference.com/players/m/muscami01.html
263,264,Cole Anthony,ORL,"$3,449,400","$3,613,680","$5,539,771",,,,1st Round Pick,"$7,063,080",https://www.basketball-reference.com/players/a/anthoco01.html
264,265,Corey Kispert,WAS,"$3,383,640","$3,552,960","$3,722,040","$5,705,887",,,1st Round Pick,"$6,936,600",https://www.basketball-reference.com/players/k/kispeco01.html
265,266,Trey Burke,DAL,"$3,333,333","$3,492,063",,,,,MLE,"$3,333,333",https://www.basketball-reference.com/players/b/burketr01.html
266,267,Georges Niang,PHI,"$3,300,000","$3,465,000",,,,,MLE,"$6,765,000",https://www.basketball-reference.com/players/n/niangge01.html
267,268,Chuma Okeke,ORL,"$3,277,080","$3,433,320","$5,266,713",,,,1st Round Pick,"$6,710,400",https://www.basketball-reference.com/players/o/okekech01.html
268,269,Isaiah Stewart,DET,"$3,277,080","$3,433,320","$5,266,713",,,,1st Round Pick,"$6,710,400",https://www.basketball-reference.com/players/s/stewais01.html
